Group,strength
HC,0.24214114434560702
HC,0.260119398969107
HC,0.206894683259018
CU,0.0224012126332301
CU,0.277655737940643
CU,0.29421055966799
CU,0.21457912989920497
CU,0.241855085048274
CU,0.23552028262063898
CU,0.23274000736940398
CU,0.216120103403728
CU,0.270635183043953
CU,0.18708304096514802
CU,0.173235762839613
HC,0.14427899610021697
HC,0.20558679132517396
CU,0.32006929296967
CU,0.0171270223762671
CU,0.28752854667454497
CU,0.17014412234529402
CU,0.10088533857982099
HC,0.23090452204302697
HC,0.248447248637538
CU,0.316804518997083
HC,0.21641892378108396
HC,0.19708637945531898
HC,0.24793989284642898
CU,0.19757123136323396
CU,0.296148319987497
HC,0.257337935209587
HC,0.162639303645117
CU,0.296160281524363
HC,0.135077304389051
CU,0.22395057220535602
HC,0.252790056948608
CU,0.21793752010922898
CU,0.24391044961576802
CU,0.23469146212471
CU,0.194783507987235
HC,0.22509729719896301
HC,0.166115364487719
HC,0.22571158493841198
CU,0.12811710917522098
CU,0.248640633835027
HC,0.20888694193335197
HC,0.23704112135693603
CU,0.23118356903052104
CU,0.236800276172078
CU,0.144816042854708
CU,0.34313961406736704
CU,0.27244445403465395
HC,0.27841898625645095
CU,0.22411875664363198
HC,0.256362758453225
CU,0.29225545313942497
CU,0.27280658721990997
HC,0.22609010567450302
CU,0.26462850925472303
CU,0.27385121570551196
CU,0.26665676878204897
HC,0.244706263558364
CU,0.28596198377646903
HC,0.23876568711006999
CU,0.325382347782971
HC,0.23433588081030302
CU,0.116969957124178
HC,0.232271702747143
HC,0.120925953728382
HC,0.132509923949293
CU,0.162317400642262
CU,0.107420625126526
HC,0.255676963227963
HC,0.0978569581295418
HC,0.14793547086194198
HC,0.14432733829294
HC,0.283008503537525
HC,0.20296449510990103
CU,0.20272860110732102
CU,0.22684451184356796
HC,0.202932131342131
HC,0.20015478353665098
CU,0.258815930240364
HC,0.250243574360218
HC,0.180116547091802
HC,0.0955804375584966
CU,0.259033264175896
HC,0.127436297532925
CU,0.24109066266946103
HC,0.161994566288655
CU,0.185541886144247
HC,0.138846617822356
HC,0.217457791575219
CU,0.227943425859799
CU,0.266499811159053
HC,0.114966909648932
HC,0.10618518273012402
CU,0.17734877501643803
CU,0.20639750102145898
CU,0.199801200296351
CU,0.19776458341071398
CU,0.261398436857537
CU,0.164939920369558
CU,0.17063665924299698
CU,0.195086622697166
CU,0.12522025547305302
CU,0.17070953834993302
CU,0.0800006659014149
