Loss,1,1.4,2.1,2.4,2.8,5,7.2,8.1,8.4,8.6,11.9,15
hinge,0.9479,0.9604,0.9479,0.9479,0.9479,0.9396,0.9271,0.9396,0.9479,0.9396,0.9479,0.9479
squared_hinge,0.9479,0.9479,0.9354,0.9229,0.9104,0.9104,0.9104,0.9104,0.9104,0.9104,0.9104,0.9104
