Group,transitivity
HC,0.22340425531914898
HC,0.275229357798165
HC,0.284210526315789
CU,0.0
CU,0.483870967741936
CU,0.4553571428571429
CU,0.46551724137930994
CU,0.5
CU,0.49586776859504106
CU,0.46788990825688104
CU,0.432203389830509
CU,0.46666666666666706
CU,0.48113207547169795
CU,0.537735849056604
HC,0.293478260869565
HC,0.287234042553192
CU,0.47619047619047605
CU,0.6
CU,0.495412844036697
CU,0.494845360824742
CU,0.508474576271186
HC,0.23076923076923103
HC,0.25714285714285695
CU,0.4701492537313429
HC,0.28037383177570097
HC,0.211764705882353
HC,0.267326732673267
CU,0.5217391304347829
CU,0.438461538461539
HC,0.303030303030303
HC,0.304347826086957
CU,0.477272727272727
HC,0.27906976744186
CU,0.5046728971962621
HC,0.27
CU,0.457627118644068
CU,0.402439024390244
CU,0.480916030534351
CU,0.443478260869565
HC,0.25233644859813104
HC,0.247058823529412
HC,0.27835051546391804
CU,0.552631578947369
CU,0.425196850393701
HC,0.212121212121212
HC,0.25714285714285695
CU,0.4789915966386551
CU,0.480916030534351
CU,0.277777777777778
CU,0.46666666666666706
CU,0.483050847457627
HC,0.277777777777778
CU,0.508064516129032
HC,0.277777777777778
CU,0.47368421052631604
CU,0.490909090909091
HC,0.258064516129032
CU,0.45
CU,0.435483870967742
CU,0.424528301886792
HC,0.28037383177570097
CU,0.504
HC,0.259615384615385
CU,0.44186046511627897
HC,0.193548387096774
CU,0.308823529411765
HC,0.272727272727273
HC,0.3375
HC,0.23076923076923103
CU,0.529411764705882
CU,0.529411764705882
HC,0.27835051546391804
HC,0.214285714285714
HC,0.3
HC,0.25531914893617
HC,0.267857142857143
HC,0.28915662650602403
CU,0.432692307692308
CU,0.45
HC,0.27835051546391804
HC,0.264705882352941
CU,0.45454545454545503
HC,0.254716981132076
HC,0.21875
HC,0.317647058823529
CU,0.46875
HC,0.153846153846154
CU,0.5
HC,0.313432835820896
CU,0.46153846153846206
HC,0.23684210526315802
HC,0.25609756097561
CU,0.408
CU,0.438461538461539
HC,0.0967741935483871
HC,0.166666666666667
CU,0.45378151260504207
CU,0.37931034482758597
CU,0.47368421052631604
CU,0.49565217391304406
CU,0.448818897637795
CU,0.4
CU,0.45945945945946
CU,0.483050847457627
CU,0.39130434782608703
CU,0.451327433628319
CU,0.6734693877551021
